iter	Logloss
0	0.614834535
1	0.5464478217
2	0.4877672099
3	0.4391548048
4	0.3961858126
5	0.3606289838
6	0.3293509399
7	0.3038685301
8	0.2808069651
9	0.2606588367
10	0.244195045
11	0.2306051251
12	0.2188859951
13	0.2079199112
14	0.1992495012
15	0.1906640242
16	0.1833864095
17	0.1767479899
18	0.1711508573
19	0.1661375289
20	0.1616731022
21	0.15783746
22	0.1544186836
23	0.1520043321
24	0.1493047148
25	0.1470820557
26	0.1450091835
27	0.1431307205
28	0.1415001281
29	0.1401187501
30	0.1387863468
31	0.1374534263
32	0.1362852883
33	0.1352253704
34	0.1343854992
35	0.1335520672
36	0.132890477
37	0.1322369158
38	0.1316447104
39	0.1310924967
40	0.130567991
41	0.1300698376
42	0.1296373225
43	0.1292823437
44	0.1289317385
45	0.1285840012
46	0.1282782417
47	0.1279801071
48	0.1277556046
49	0.1275075768
50	0.1272559774
51	0.1270332831
52	0.1267830884
53	0.1265723353
54	0.1263024751
55	0.1261092604
56	0.1259040569
57	0.1257331509
58	0.1255003779
59	0.1253410381
60	0.1251832118
61	0.1250335215
62	0.1248830697
63	0.1247244138
64	0.1246091902
65	0.1245412988
66	0.1244140754
67	0.1243362817
68	0.1241515963
69	0.1240173524
70	0.1238809496
71	0.1237702801
72	0.1236844813
73	0.1235252594
74	0.1234010897
75	0.123309787
76	0.1231841511
77	0.1231008536
78	0.1229851234
79	0.1228594407
80	0.1227396222
81	0.1225870421
82	0.1224691655
83	0.1222833352
84	0.1221854832
85	0.122160009
86	0.1221069467
87	0.1220994652
88	0.1219990093
89	0.1218979219
90	0.121755676
91	0.1216930278
92	0.1215936463
93	0.1214761776
94	0.1213782795
95	0.121298058
96	0.1212174615
97	0.1211091086
98	0.1210067544
99	0.1208771248
100	0.1207856121
101	0.120776381
102	0.1206818351
103	0.1206732104
104	0.1206273135
105	0.1205634798
106	0.1204415011
107	0.1203779082
108	0.12029916
109	0.1201837207
110	0.1201324673
111	0.1200830122
112	0.1200174265
113	0.1198989653
114	0.1198494799
115	0.1197407605
116	0.1196963597
117	0.1195622976
118	0.1194647555
119	0.1194111563
120	0.119313155
121	0.1191990629
122	0.1190599616
123	0.1189750496
124	0.1189167296
125	0.1188595537
126	0.1188140617
127	0.1186974748
128	0.1185779074
129	0.1185349176
130	0.1184433764
131	0.1183755133
132	0.1183302441
133	0.1182065485
134	0.1181905602
135	0.118147142
136	0.1180789179
137	0.1180115289
138	0.1179259312
139	0.1178188475
140	0.1177476475
141	0.1176619373
142	0.1175950877
143	0.1175141176
144	0.1174605281
145	0.1173834906
146	0.117312783
147	0.1172300948
148	0.1171618981
149	0.117054046
150	0.11696186
151	0.1168769313
152	0.116799128
153	0.1166802593
154	0.1165879689
155	0.1164824954
156	0.116415138
157	0.1163573153
158	0.1162934636
159	0.1161931694
160	0.1160840937
161	0.1160422754
162	0.1159802851
163	0.1159203935
164	0.1158188495
165	0.1157387497
166	0.1156595327
167	0.1155683578
168	0.11548276
169	0.115420872
170	0.1153602182
171	0.1153120093
172	0.1152392681
173	0.1151315567
174	0.1150904505
175	0.1149732776
176	0.1148790138
177	0.1148330805
178	0.1146820218
179	0.1146471097
180	0.1145979836
181	0.1145229809
182	0.1144566679
183	0.1143026175
184	0.114250435
185	0.1141826747
186	0.1140310901
187	0.1139721661
188	0.1138950339
189	0.1137837606
190	0.1136839447
191	0.1136346308
192	0.1135776945
193	0.1134700044
194	0.1134214544
195	0.1133764672
196	0.1132901455
197	0.1132046206
198	0.1131585373
199	0.1130773473
200	0.1129714555
201	0.1128964888
202	0.1127915867
203	0.1126950127
204	0.1126409547
205	0.1125828456
206	0.1124785432
207	0.1123811803
208	0.112292187
209	0.1121865713
210	0.1121074092
211	0.1120372962
212	0.1119158719
213	0.1118074142
214	0.1117339948
215	0.1116628984
216	0.1115987798
217	0.1115218691
218	0.1114865063
219	0.1114423603
220	0.1113141983
221	0.1112482647
222	0.111169065
223	0.1111021402
224	0.1110105843
225	0.1109329033
226	0.1108590445
227	0.1108154102
228	0.1107696046
229	0.1106777149
230	0.1106077086
231	0.1105297075
232	0.110458636
233	0.1103893756
234	0.110333077
